=== LEVEL 1 ===


--- Summary Table: Level 1, Trained on Level 1 | Success Threshold >= -5 ---
| Configuration     |   Mean |   SD |   Min |   Max |   Success Rate (%) |
| Active (5% FOV)   |   2.16 | 20.04 |  -65.00 | 17.00 |              51.00 |
| Active (10% FOV)  |  -1.28 | 19.10 |  -57.00 | 17.00 |              38.00 |
| Active (20% FOV)  |   1.26 | 19.19 |  -61.00 | 19.00 |              50.00 |
| Active (40% FOV)  |  -9.54 | 31.36 | -120.00 | 19.00 |              34.00 |
| Active (60% FOV)  |  -6.51 | 22.46 |  -62.00 | 17.00 |              32.00 |
| Active (80% FOV)  |   5.81 | 15.87 |  -41.00 | 19.00 |              58.00 |
| Active (100% FOV) |   2.49 | 20.08 |  -58.00 | 19.00 |              55.00 |

--- Summary Table: Level 2, Trained on Level 1 | Success Threshold >= 20 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -28.06 | 46.19 | -124.00 | 19.00 |               0.00 |
| Active (1% FOV)   |   0.23 | 19.71 |  -89.00 | 19.00 |               0.00 |
| Active (5% FOV)   |   2.16 | 20.04 |  -65.00 | 17.00 |               0.00 |
| Active (10% FOV)  |  -1.28 | 19.10 |  -57.00 | 17.00 |               0.00 |
| Active (20% FOV)  |   1.26 | 19.19 |  -61.00 | 19.00 |               0.00 |
| Active (40% FOV)  |  -9.54 | 31.36 | -120.00 | 19.00 |               0.00 |
| Active (60% FOV)  |  -6.51 | 22.46 |  -62.00 | 17.00 |               0.00 |
| Active (80% FOV)  |   5.81 | 15.87 |  -41.00 | 19.00 |               0.00 |
| Active (100% FOV) |   2.49 | 20.08 |  -58.00 | 19.00 |               0.00 |

--- Summary Table: Level 1, Trained on Level 2 | Success Threshold >= -5 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |  17.96 |  1.03 |  16.00 | 20.00 |             100.00 |
| Active (1% FOV)   |  12.08 | 13.73 | -28.00 | 20.00 |              90.00 |
| Active (5% FOV)   |  14.79 |  3.24 |   8.00 | 19.00 |             100.00 |
| Active (10% FOV)  |  17.18 |  1.68 |  13.00 | 19.00 |             100.00 |
| Active (20% FOV)  |  17.67 |  2.07 |  10.00 | 20.00 |             100.00 |
| Active (40% FOV)  |  17.78 |  1.14 |  16.00 | 20.00 |             100.00 |
| Active (60% FOV)  |  15.57 | 11.10 | -28.00 | 20.00 |              94.00 |
| Active (80% FOV)  |  18.03 |  2.96 |   0.00 | 20.00 |             100.00 |
| Active (100% FOV) |  18.32 |  0.98 |  16.00 | 20.00 |             100.00 |

--- Summary Table: Level 1, Trained on Level 2 | Success Threshold >= 0 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |  17.96 |  1.03 |  16.00 | 20.00 |             100.00 |
| Active (1% FOV)   |  12.08 | 13.73 | -28.00 | 20.00 |              90.00 |
| Active (5% FOV)   |  14.79 |  3.24 |   8.00 | 19.00 |             100.00 |
| Active (10% FOV)  |  17.18 |  1.68 |  13.00 | 19.00 |             100.00 |
| Active (20% FOV)  |  17.67 |  2.07 |  10.00 | 20.00 |             100.00 |
| Active (40% FOV)  |  17.78 |  1.14 |  16.00 | 20.00 |             100.00 |
| Active (60% FOV)  |  15.57 | 11.10 | -28.00 | 20.00 |              94.00 |
| Active (80% FOV)  |  18.03 |  2.96 |   0.00 | 20.00 |             100.00 |
| Active (100% FOV) |  18.32 |  0.98 |  16.00 | 20.00 |             100.00 |

--- Summary Table: Level 1, Trained on Level 2 | Success Threshold >= 5 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |  17.96 |  1.03 |  16.00 | 20.00 |             100.00 |
| Active (1% FOV)   |  12.08 | 13.73 | -28.00 | 20.00 |              90.00 |
| Active (5% FOV)   |  14.79 |  3.24 |   8.00 | 19.00 |             100.00 |
| Active (10% FOV)  |  17.18 |  1.68 |  13.00 | 19.00 |             100.00 |
| Active (20% FOV)  |  17.67 |  2.07 |  10.00 | 20.00 |             100.00 |
| Active (40% FOV)  |  17.78 |  1.14 |  16.00 | 20.00 |             100.00 |
| Active (60% FOV)  |  15.57 | 11.10 | -28.00 | 20.00 |              94.00 |
| Active (80% FOV)  |  18.03 |  2.96 |   0.00 | 20.00 |              99.00 |
| Active (100% FOV) |  18.32 |  0.98 |  16.00 | 20.00 |             100.00 |

--- Summary Table: Level 1, Trained on Level 2 | Success Threshold >= 10 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |  17.96 |  1.03 |  16.00 | 20.00 |             100.00 |
| Active (1% FOV)   |  12.08 | 13.73 | -28.00 | 20.00 |              82.00 |
| Active (5% FOV)   |  14.79 |  3.24 |   8.00 | 19.00 |              95.00 |
| Active (10% FOV)  |  17.18 |  1.68 |  13.00 | 19.00 |             100.00 |
| Active (20% FOV)  |  17.67 |  2.07 |  10.00 | 20.00 |             100.00 |
| Active (40% FOV)  |  17.78 |  1.14 |  16.00 | 20.00 |             100.00 |
| Active (60% FOV)  |  15.57 | 11.10 | -28.00 | 20.00 |              94.00 |
| Active (80% FOV)  |  18.03 |  2.96 |   0.00 | 20.00 |              96.00 |
| Active (100% FOV) |  18.32 |  0.98 |  16.00 | 20.00 |             100.00 |

--- Summary Table: Level 1, Trained on Level 2 | Success Threshold >= 15 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |  17.96 |  1.03 |  16.00 | 20.00 |             100.00 |
| Active (1% FOV)   |  12.08 | 13.73 | -28.00 | 20.00 |              74.00 |
| Active (5% FOV)   |  14.79 |  3.24 |   8.00 | 19.00 |              63.00 |
| Active (10% FOV)  |  17.18 |  1.68 |  13.00 | 19.00 |              90.00 |
| Active (20% FOV)  |  17.67 |  2.07 |  10.00 | 20.00 |              95.00 |
| Active (40% FOV)  |  17.78 |  1.14 |  16.00 | 20.00 |             100.00 |
| Active (60% FOV)  |  15.57 | 11.10 | -28.00 | 20.00 |              94.00 |
| Active (80% FOV)  |  18.03 |  2.96 |   0.00 | 20.00 |              95.00 |
| Active (100% FOV) |  18.32 |  0.98 |  16.00 | 20.00 |             100.00 |

--- Summary Table: Level 1, Trained on Level 2 | Success Threshold >= 20 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |  17.96 |  1.03 |  16.00 | 20.00 |              11.00 |
| Active (1% FOV)   |  12.08 | 13.73 | -28.00 | 20.00 |              11.00 |
